,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Rikitea,PF,78.91,few clouds,-23.1203,-134.9692,Pension Maro'i
5,Port Keats,AU,80.46,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
7,Jacareacanga,BR,77.09,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
8,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
10,Kapaa,US,80.6,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
19,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
28,Bambous Virieux,MU,80.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
33,Vao,NC,76.86,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
36,Puerto Ayora,EC,80.6,broken clouds,-0.7393,-90.3518,Castillo Galapagos
43,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
44,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,Grand Gaube,MU,80.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
50,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
51,Guerrero Negro,MX,78.51,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
54,Ciudad Bolivar,VE,85.89,overcast clouds,8.1222,-63.5497,Hotel Edi
55,Emerald,AU,78.8,broken clouds,-23.5333,148.1667,The Irish Village
61,Butaritari,KI,80.58,broken clouds,3.0707,172.7902,Isles Sunset Lodge
66,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
75,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
84,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Kununurra,AU,82.4,scattered clouds,-15.7667,128.7333,Hotel Kununurra
92,Bubaque,GW,78.13,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
98,Senador Jose Porfirio,BR,80.19,light rain,-2.5908,-51.9542,Pousada Novo Horizonte
100,Bengkulu,ID,75.16,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
104,Poum,NC,82.67,heavy intensity rain,-20.2333,164.0167,Gîte kajeon
112,Port Hedland,AU,89.6,few clouds,-20.3167,118.5667,The Esplanade Hotel
114,Kloulklubed,PW,75.2,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
116,Nabire,ID,76.42,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
120,Faanui,PF,81.39,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
122,Tiarei,PF,86.0,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
126,Valparaiso,CL,75.2,clear sky,-33.0393,-71.6273,Hotel Ultramar
