City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
Upernavik,72.7868,-56.1549,10.98,86,58,7.87,broken clouds,GL,2021-01-17 22:24:27
Rikitea,-23.1203,-134.9692,78.91,75,19,14.74,few clouds,PF,2021-01-17 22:24:27
Bluff,-46.6,168.3333,60.01,56,69,8.01,broken clouds,NZ,2021-01-17 22:24:27
Katsuura,35.1333,140.3,39.0,69,95,4.0,overcast clouds,JP,2021-01-17 22:24:27
Leshukonskoye,64.8989,45.7622,-7.11,91,92,3.44,overcast clouds,RU,2021-01-17 22:24:27
Port Keats,-14.25,129.55,80.46,79,57,6.22,broken clouds,AU,2021-01-17 22:24:27
Lashio,22.9333,97.75,50.23,91,84,1.05,broken clouds,MM,2021-01-17 22:24:27
Jacareacanga,-6.2222,-57.7528,77.09,94,100,1.95,overcast clouds,BR,2021-01-17 22:24:27
Souillac,-20.5167,57.5167,78.8,78,75,11.5,broken clouds,MU,2021-01-17 22:20:26
Kaeo,-35.1,173.7833,73.0,57,15,10.0,few clouds,NZ,2021-01-17 22:24:27
Kapaa,22.0752,-159.319,80.6,69,20,19.57,few clouds,US,2021-01-17 22:20:25
Gostyn,51.8825,17.0123,6.01,89,0,4.21,clear sky,PL,2021-01-17 22:24:27
Marsh Harbour,26.5412,-77.0636,68.5,64,100,16.2,overcast clouds,BS,2021-01-17 22:24:27
Chokurdakh,70.6333,147.9167,-26.54,85,100,7.29,overcast clouds,RU,2021-01-17 22:20:08
Kincardine,56.0667,-3.7167,42.8,93,90,13.8,light rain,GB,2021-01-17 22:24:28
Alice Springs,-23.7,133.8833,66.2,32,0,14.03,clear sky,AU,2021-01-17 22:24:28
Matara,5.9485,80.5353,74.61,91,76,5.75,broken clouds,LK,2021-01-17 22:24:28
Saint George,37.1041,-113.5841,62.01,24,1,0.69,clear sky,US,2021-01-17 22:22:48
Bredasdorp,-34.5322,20.0403,68.0,77,80,9.22,broken clouds,ZA,2021-01-17 22:20:00
Avarua,-21.2078,-159.775,84.2,70,20,6.91,few clouds,CK,2021-01-17 22:24:28
New Norfolk,-42.7826,147.0587,62.01,71,99,4.0,overcast clouds,AU,2021-01-17 22:24:28
Ilulissat,69.2167,-51.1,21.2,86,75,11.5,light snow,GL,2021-01-17 22:24:28
Cape Town,-33.9258,18.4232,71.01,64,0,16.11,clear sky,ZA,2021-01-17 22:20:51
Khatanga,71.9667,102.5,-24.99,81,0,14.05,clear sky,RU,2021-01-17 22:20:57
Kalispell,48.1958,-114.3129,37.4,87,90,8.05,overcast clouds,US,2021-01-17 22:24:28
Ribeira Grande,38.5167,-28.7,62.6,94,75,19.57,light rain,PT,2021-01-17 22:20:13
Rocha,-34.4833,-54.3333,69.13,62,12,11.86,few clouds,UY,2021-01-17 22:24:28
Hermanus,-34.4187,19.2345,66.0,83,5,4.0,clear sky,ZA,2021-01-17 22:24:28
Bambous Virieux,-20.3428,57.7575,80.01,78,75,11.5,broken clouds,MU,2021-01-17 22:20:22
Dikson,73.5069,80.5464,-24.18,84,31,20.24,scattered clouds,RU,2021-01-17 22:24:28
Mataura,-46.1927,168.8643,60.01,57,35,8.01,light rain,NZ,2021-01-17 22:20:00
Hobart,-42.8794,147.3294,62.6,55,75,20.71,broken clouds,AU,2021-01-17 22:20:17
Jamestown,42.097,-79.2353,33.01,93,90,11.5,light snow,US,2021-01-17 22:24:29
Vao,-22.6667,167.4833,76.86,82,80,12.26,broken clouds,NC,2021-01-17 22:20:26
Port Alfred,-33.5906,26.891,66.99,90,54,5.03,broken clouds,ZA,2021-01-17 22:24:29
Albany,42.6001,-73.9662,37.99,67,100,6.29,overcast clouds,US,2021-01-17 22:20:11
Puerto Ayora,-0.7393,-90.3518,80.6,69,75,17.27,broken clouds,EC,2021-01-17 22:24:29
Port Elizabeth,-33.918,25.5701,66.2,82,75,2.3,broken clouds,ZA,2021-01-17 22:24:29
Kingsport,36.5484,-82.5618,41.0,60,90,11.5,overcast clouds,US,2021-01-17 22:21:31
Montenegro,42.5,19.3,30.2,86,90,4.61,overcast clouds,ME,2021-01-17 22:24:29
Busselton,-33.65,115.3333,64.99,67,24,5.99,few clouds,AU,2021-01-17 22:24:29
Beeville,28.4008,-97.7483,73.4,40,1,4.61,clear sky,US,2021-01-17 22:20:35
Novonikolayevskiy,50.9738,42.3649,-2.0,86,100,6.29,overcast clouds,RU,2021-01-17 22:24:29
Porto Novo,6.4965,2.6036,82.4,83,20,8.05,few clouds,BJ,2021-01-17 22:21:22
Mahebourg,-20.4081,57.7,78.8,78,75,11.5,broken clouds,MU,2021-01-17 22:24:29
Plouzane,48.3833,-4.6167,44.6,93,90,2.3,overcast clouds,FR,2021-01-17 22:24:29
Pahrump,36.2083,-115.9839,73.0,19,0,1.99,clear sky,US,2021-01-17 22:24:29
Grand Gaube,-20.0064,57.6608,80.01,77,98,7.0,overcast clouds,MU,2021-01-17 22:23:16
Sao Filipe,14.8961,-24.4956,72.39,72,0,6.4,clear sky,CV,2021-01-17 22:21:04
Salihli,38.4826,28.1477,29.34,93,5,2.82,clear sky,TR,2021-01-17 22:24:29
Isangel,-19.55,169.2667,86.0,89,75,5.75,broken clouds,VU,2021-01-17 22:24:30
Guerrero Negro,27.9769,-114.0611,78.51,19,0,7.11,clear sky,MX,2021-01-17 22:20:55
Fort Nelson,58.8053,-122.7002,24.8,74,75,5.75,broken clouds,CA,2021-01-17 22:24:30
Nelson Bay,-32.7167,152.15,70.0,73,91,8.05,overcast clouds,AU,2021-01-17 22:24:30
Ciudad Bolivar,8.1222,-63.5497,85.89,53,97,10.0,overcast clouds,VE,2021-01-17 22:24:30
Emerald,-23.5333,148.1667,78.8,73,75,12.66,broken clouds,AU,2021-01-17 22:24:30
Brae,60.3964,-1.353,44.6,81,75,25.32,broken clouds,GB,2021-01-17 22:23:06
Ushuaia,-54.8,-68.3,55.4,71,75,3.44,light rain,AR,2021-01-17 22:22:55
Mount Gambier,-37.8333,140.7667,57.2,94,75,11.5,broken clouds,AU,2021-01-17 22:23:07
Campbeltown,55.4258,-5.6076,46.4,87,40,25.32,scattered clouds,GB,2021-01-17 22:24:30
Seoul,37.5683,126.9778,26.6,93,90,8.05,overcast clouds,KR,2021-01-17 22:24:08
Butaritari,3.0707,172.7902,80.58,76,73,19.26,broken clouds,KI,2021-01-17 22:24:30
Petropavlovka,50.6114,105.3196,-4.09,85,100,1.16,overcast clouds,RU,2021-01-17 22:24:30
Shimoda,34.6667,138.95,33.01,81,53,1.01,broken clouds,JP,2021-01-17 22:21:46
Punta Arenas,-53.15,-70.9167,62.6,59,0,36.82,clear sky,CL,2021-01-17 22:23:48
Ponta Do Sol,32.6667,-17.1,59.0,58,75,4.61,broken clouds,PT,2021-01-17 22:24:30
Kahului,20.8947,-156.47,80.6,61,40,10.36,scattered clouds,US,2021-01-17 22:21:59
Lavrentiya,65.5833,-171.0,-10.55,82,100,10.31,overcast clouds,RU,2021-01-17 22:20:06
Yar-Sale,66.8333,70.8333,-13.5,88,100,16.06,overcast clouds,RU,2021-01-17 22:23:53
Gimli,50.6336,-96.9907,8.6,72,100,10.36,overcast clouds,CA,2021-01-17 22:24:30
Rangpur,25.75,89.25,61.7,61,0,5.48,clear sky,BD,2021-01-17 22:24:30
Tygda,53.1167,126.3333,-20.56,84,99,6.51,overcast clouds,RU,2021-01-17 22:24:30
Dwarka,22.2394,68.9678,68.4,59,0,12.1,clear sky,IN,2021-01-17 22:23:54
Akyab,20.15,92.9,62.96,76,0,6.42,clear sky,MM,2021-01-17 22:24:31
Salalah,17.0151,54.0924,66.2,52,0,3.44,clear sky,OM,2021-01-17 22:24:31
Vaini,-21.2,-175.2,86.0,74,75,11.5,broken clouds,TO,2021-01-17 22:24:31
Novyy Urengoy,66.0833,76.6333,-11.43,89,100,14.47,overcast clouds,RU,2021-01-17 22:24:12
Qaanaaq,77.484,-69.3632,-2.31,74,0,4.5,clear sky,GL,2021-01-17 22:24:31
