City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bambous Virieux,20,MU,2021-01-14 17:40:04,78,-20.3428,57.7575,78.8,3.44
1,Katsuura,0,JP,2021-01-14 17:40:04,53,35.1333,140.3,48.2,16.11
2,Butaritari,63,KI,2021-01-14 17:40:04,79,3.0707,172.7902,80.83,23.55
3,Tuktoyaktuk,90,CA,2021-01-14 17:40:04,84,69.4541,-133.0374,-7.6,6.91
4,Krasnoarmeysk,100,RU,2021-01-14 17:40:04,83,51.0239,45.6969,17.01,3.0
5,Hermanus,0,ZA,2021-01-14 17:40:04,73,-34.4187,19.2345,79.0,5.99
6,Castro,51,BR,2021-01-14 17:40:04,68,-24.7911,-50.0119,76.84,11.32
7,Rikitea,42,PF,2021-01-14 17:40:05,76,-23.1203,-134.9692,77.22,11.07
8,Mataura,70,NZ,2021-01-14 17:40:05,95,-46.1927,168.8643,55.0,1.99
9,Bredasdorp,27,ZA,2021-01-14 17:40:05,88,-34.5322,20.0403,69.8,8.05
10,Punta Arenas,40,CL,2021-01-14 17:40:05,48,-53.15,-70.9167,64.4,21.85
11,Cairns,40,AU,2021-01-14 17:40:05,78,-16.9167,145.7667,78.8,9.22
12,Ribeira Grande,75,PT,2021-01-14 17:36:40,94,38.5167,-28.7,62.6,16.11
13,Chokurdakh,100,RU,2021-01-14 17:40:05,89,70.6333,147.9167,-17.5,8.52
14,Vaini,75,TO,2021-01-14 17:40:05,100,-21.2,-175.2,75.2,4.61
15,Gondanglegi,100,ID,2021-01-14 17:40:05,85,-7.7479,112.0132,75.22,3.18
16,Busselton,23,AU,2021-01-14 17:40:05,76,-33.65,115.3333,57.99,15.68
17,New Norfolk,7,AU,2021-01-14 17:40:05,65,-42.7826,147.0587,51.01,1.83
18,Dikson,3,RU,2021-01-14 17:40:05,81,73.5069,80.5464,-28.19,4.47
19,Russkaya Polyana,48,UA,2021-01-14 17:40:05,96,49.417,31.9201,25.56,6.96
20,Tiksi,94,RU,2021-01-14 17:40:05,84,71.6872,128.8694,-33.66,2.98
21,Khatanga,87,RU,2021-01-14 17:40:06,77,71.9667,102.5,-48.28,2.53
22,Korla,0,CN,2021-01-14 17:37:07,82,41.7597,86.1469,20.89,6.71
23,Haverfordwest,75,GB,2021-01-14 17:40:06,81,51.8017,-4.9691,46.4,20.71
24,Bilibino,99,RU,2021-01-14 17:40:06,83,68.0546,166.4372,-25.08,0.78
25,Bluff,48,NZ,2021-01-14 17:40:06,96,-46.6,168.3333,55.0,1.99
26,Codrington,22,AU,2021-01-14 17:40:06,92,-38.2667,141.9667,50.63,11.63
27,Avarua,90,CK,2021-01-14 17:35:37,83,-21.2078,-159.775,78.8,6.91
28,Muroto,98,JP,2021-01-14 17:40:06,63,33.2833,134.15,54.12,7.0
29,Voka,96,EE,2021-01-14 17:40:06,94,59.3997,27.5817,13.84,14.14
30,Saint-Augustin,41,CA,2021-01-14 17:36:37,93,51.226,-58.6502,27.84,7.38
31,Leh,100,IN,2021-01-14 17:40:06,40,34.1667,77.5833,14.76,1.54
32,Nuuk,75,GL,2021-01-14 17:40:06,100,64.1835,-51.7216,23.0,2.17
33,Springbok,5,ZA,2021-01-14 17:40:06,46,-29.6643,17.8865,70.56,9.31
34,Yellowknife,90,CA,2021-01-14 17:40:06,85,62.456,-114.3525,8.6,3.44
35,Hobart,40,AU,2021-01-14 17:39:57,71,-42.8794,147.3294,51.01,4.61
36,Kibala,0,TD,2021-01-14 17:40:06,29,9.1104,18.3463,87.8,4.07
37,Touros,40,BR,2021-01-14 17:40:06,58,-5.1989,-35.4608,86.0,14.97
38,Albany,100,US,2021-01-14 17:40:05,68,42.6001,-73.9662,37.99,1.68
39,Isangel,100,VU,2021-01-14 17:40:07,88,-19.55,169.2667,78.6,8.14
40,Atuona,13,PF,2021-01-14 17:40:07,79,-9.8,-139.0333,76.8,13.44
41,Ushuaia,75,AR,2021-01-14 17:37:56,76,-54.8,-68.3,50.0,4.61
42,Marawi,100,PH,2021-01-14 17:40:07,96,7.9986,124.2928,75.0,3.0
43,Provideniya,87,RU,2021-01-14 17:36:00,88,64.3833,-173.3,-0.49,7.83
44,Cidreira,59,BR,2021-01-14 17:40:08,66,-30.1811,-50.2056,74.39,18.37
45,Rio Grande,40,BR,2021-01-14 17:37:12,54,-32.035,-52.0986,80.6,19.57
46,Ancud,0,CL,2021-01-14 17:40:08,59,-41.8697,-73.8203,62.6,5.75
47,Lebu,95,CL,2021-01-14 17:40:09,70,-37.6167,-73.65,59.88,13.78
48,Vao,100,NC,2021-01-14 17:40:09,88,-22.6667,167.4833,77.34,18.14
